fa_name_phase,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3,cluster,phase,fa_name
Phase 2 White Clay Creek,4603.0793,103565.31107656946,6284.845077397979,3561901.1988895014,2699.2844725517502,106.30700788569011,0.0,0.0,0.0,22291.462953017704,4751.583486512289,-690423.4584504983,2758.7361372625037,1207.4859700076,701836.9008485356,2758.7361372625037,1207.4859700076,701836.9008485356,2856.6147926605017,1283.3686081636,715315.0607709982,19532.7268157552,3544.0975165046893,-1392260.3592990339,19532.7268157552,3544.0975165046893,-1392260.3592990339,19434.8481603572,3468.214878348689,-1405738.5192214965,Brandywine and Christina,Phase 2,White Clay Creek
Phase 1 Upper East Branch/Marsh Creek,3851.6422000000002,72248.62367743818,3747.841008986615,1636306.5175104514,5296.12537601059,479.422439382867,0.0,0.0,0.0,1204.9659474275861,2074.409487603748,-1921840.5468495484,0.0,0.0,0.0,0.0,0.0,0.0,30.05994989380107,27.584492513598963,2633.079272267685,1204.9659474275861,2074.409487603748,-1921840.5468495484,1204.9659474275861,2074.409487603748,-1921840.5468495484,1174.9059975337855,2046.824995090149,-1924473.6261218162,Brandywine and Christina,Phase 1,Upper East Branch/Marsh Creek
Phase 1 Sharitz Run,967.838,16371.29738474913,995.6438468361835,507668.7972549725,0.0,0.0,0.0,0.0,0.0,-149.6972752508704,695.6140668361834,-386419.94714502746,0.0,0.0,0.0,0.0,0.0,0.0,41.29049378159971,32.62129410779998,5894.0418114446875,-149.6972752508704,695.6140668361834,-386419.94714502746,-149.6972752508704,695.6140668361834,-386419.94714502746,-190.98776903247028,662.9927727283834,-392313.98895647214,Brandywine and Christina,Phase 1,Sharitz Run
Phase 2 Plum Run,982.1697,13970.47875777672,545.1590169479534,1020729.3319909817,298.117553605031,36.3678011441652,0.0,0.0,0.0,-3093.2755748283116,204.3186088037882,113400.9631309818,824.6788104365,457.4752785263995,173014.83075096592,824.6788104365,457.4752785263995,173014.83075096592,830.9937474396094,463.9154240597995,173262.26477050906,-3917.9543852648117,-253.15666972261127,-59613.867619984136,-3917.9543852648117,-253.15666972261127,-59613.867619984136,-3924.269322267921,-259.59681525601127,-59861.30163952725,Brandywine and Christina,Phase 2,Plum Run
Phase 2 Red Clay Creek,2794.9628,61291.84046902052,3261.282720705508,1892075.3806187399,0.0,0.0,0.0,0.0,0.0,13581.825473020523,2394.8442527055076,-689911.25402126,2599.0502073484017,1119.1213671442003,663207.9745918129,2599.0502073484017,1119.1213671442003,663207.9745918129,2676.724376399503,1173.8088169906014,689676.7780475013,10982.775265672119,1275.7228855613073,-1353119.2286130728,10982.775265672119,1275.7228855613073,-1353119.2286130728,10905.10109662102,1221.0354357149063,-1379588.0320687613,Brandywine and Christina,Phase 2,Red Clay Creek
Phase 1 Little Buck Run,950.862,16701.02912430902,1298.7746923870036,959186.0034454707,0.0,0.0,0.0,0.0,0.0,469.8147843090236,1004.0074723870038,80779.68784547073,102.79128911120006,55.973067915000414,17122.54101184501,102.79128911120006,55.973067915000414,17122.54101184501,302.8669608609001,202.09607005280031,123462.6035781574,367.02349519782354,948.0344044720033,63657.14683362572,367.02349519782354,948.0344044720033,63657.14683362572,166.94782344812344,801.9114023342033,-42682.915732686684,Brandywine and Christina,Phase 1,Little Buck Run
Phase 2 Brandywine Creek Headwaters,4724.0821,148362.51321248777,8571.673757164552,4323587.341679608,381.438200030133,60.629472485492805,0.0,0.0,0.0,67340.99356545764,7046.57883367906,-40519.7023003909,7576.864221974917,2132.862343082997,4029948.532546989,7576.864221974917,2132.862343082997,4029948.532546989,7719.528065523222,2197.9315652459973,4046885.177787123,59764.129343482724,4913.716490596063,-4070468.23484738,59764.129343482724,4913.716490596063,-4070468.23484738,59621.46549993442,4848.647268433062,-4087404.8800875135,Brandywine and Christina,Phase 2,Brandywine Creek Headwaters
Phase 1 Rancocas Creek,8971.4573,40101.630134306426,3437.871639623493,5680576.910715138,16861.8553274668,1447.40332968048,4.483793220420068,38.54602580331989,1595.7017862974171,-129903.00130416038,-790.6834530569871,-2607255.3430248615,0.0,0.0,0.0,0.0,0.0,0.0,3.368190046401219,0.5757629260000401,269.4554793643306,-129903.00130416038,-790.6834530569871,-2607255.3430248615,-129903.00130416038,-790.6834530569871,-2607255.3430248615,-129906.36949420678,-791.2592159829871,-2607524.798504226,Kirkwood - Cohansey Aquifer,Phase 1,Rancocas Creek
Phase 1 Cohansey-Maurice,79845.4069,1191380.5512110349,61579.56775053094,30377229.18754508,484802.4110117072,40900.217900144395,0.0,0.0,0.0,-656382.9555836725,-4072.726288613451,-43383957.70667492,434.64865522901624,44.39598205739998,52946.97379639369,434.64865522901624,44.39598205739998,52946.97379639369,465.57882881201925,51.18542641320008,55536.0832790681,-656817.6042389015,-4117.12227067085,-43436904.68047131,-656817.6042389015,-4117.12227067085,-43436904.68047131,-656848.5344124845,-4123.911715026651,-43439493.789953984,Kirkwood - Cohansey Aquifer,Phase 1,Cohansey-Maurice
Phase 2 Menantico,7822.2106,68729.4203657388,1623.1243400647968,2790809.2142195515,0.0,0.0,9.396347168580728,82.63983377585994,3197.017438593559,-64795.7145762612,-801.7609459352032,-4435348.9380604485,129.71813322810004,11.432193683399955,14482.30729995403,129.71813322810004,11.432193683399955,14482.30729995403,134.12216475958783,12.176399266999985,14886.374426438098,-64925.432709489294,-813.1931396186031,-4449831.245360402,-64925.432709489294,-813.1931396186031,-4449831.245360402,-64929.83674102079,-813.9373452022031,-4450235.312486886,Kirkwood - Cohansey Aquifer,Phase 2,Menantico
Phase 1 Salem River,16061.2579,125288.88853062158,15660.43587634314,13246031.81765384,3683.233459329441,3687.2199597161584,0.0,0.0,0.0,-152560.01728170787,6994.22596762698,-1591358.2303661592,69.70316943309876,21.449196864999998,15472.131086279605,144.86192088849896,63.472840100599996,32000.861912710403,167.81906097819981,79.94783417140015,33878.54238849247,-152629.72045114095,6972.77677076198,-1606830.3614524386,-152704.87920259638,6930.753127526379,-1623359.0922788696,-152727.83634268606,6914.278133455579,-1625236.7727546517,Kirkwood - Cohansey Aquifer,Phase 1,Salem River
Phase 1 Western Cape May,11868.1874,187314.35943821887,14268.619337442498,9351882.281496435,153162.6275318326,11899.000945756206,0.0,0.0,0.0,-168438.22701161372,-1309.5197023137068,-1611949.2386235641,0.13506563999999344,0.02265215999999981,18.123367879976286,0.13506563999999344,0.02265215999999981,18.123367879976286,2.68240489769855,0.41413757740104495,259.36106231689973,-168438.36207725373,-1309.5423544737068,-1611967.3619914441,-168438.36207725373,-1309.5423544737068,-1611967.3619914441,-168440.90941651142,-1309.933839891108,-1612208.599685881,Kirkwood - Cohansey Aquifer,Phase 1,Western Cape May
Phase 2 Muddy Run,3662.5238,60319.42876237704,2770.1809872593353,2004343.566549618,810.440268656421,68.47634154169191,0.0,0.0,0.0,-3010.2927722793756,1566.3222677176434,-1379095.9198903819,12.45396486189793,5.4641852039999605,5241.920770452984,12.45396486189793,5.4641852039999605,5241.920770452984,19.73469599590112,9.612827175400035,5664.962707769755,-3022.746737141273,1560.8580825136435,-1384337.840660835,-3022.746737141273,1560.8580825136435,-1384337.840660835,-3030.0274682752765,1556.7094405422436,-1384760.882598152,Kirkwood - Cohansey Aquifer,Phase 2,Muddy Run
Phase 2 Upper Salem River,8402.0393,194054.29572595592,8885.140269740743,6054298.670940635,9664.69750579924,93.8010414922868,0.0,0.0,0.0,40966.78736915666,6186.707045248456,-1707505.2343993653,325.18363612628815,170.8038020744012,103316.00913557966,524.7561409527874,279.13461614680125,163641.99569398855,566.7457495460975,310.4946452712003,167034.0593858748,40641.60373303037,6015.903243174054,-1810821.2435349447,40442.03122820387,5907.572429101654,-1871147.2300933537,40400.041619610565,5876.212399977256,-1874539.29378524,Kirkwood - Cohansey Aquifer,Phase 2,Upper Salem River
Phase 1 Core Pine Barrens,131694.8683,236675.1274676482,13593.768324142779,22619754.135141976,4983.03909383591,424.775993679416,24.210280336539952,212.8359291978001,8666.089475440853,-2016339.3135071876,-27656.416842536637,-99039965.20039801,0.0,0.0,0.0,0.0,0.0,0.0,3.9256879988011635,0.6460928636009824,350.5278743584706,-2016339.3135071876,-27656.416842536637,-99039965.20039801,-2016339.3135071876,-27656.416842536637,-99039965.20039801,-2016343.2391951866,-27657.062935400238,-99040315.72827238,Kirkwood - Cohansey Aquifer,Phase 1,Core Pine Barrens
Phase 2 Rancocas,24933.2558,66876.6260718813,4449.060764061508,6631396.2654930195,19564.8790922414,1448.8951207911,4.264387776550262,36.261055787680014,1649.661328052463,-378298.9295263601,-4729.143654729592,-16401945.442546979,0.03613071390003597,0.008174675599999404,51.35401046319748,0.03613071390003597,0.008174675599999404,51.35401046319748,1.4389453725998251,0.24787355720004944,166.7584420970379,-378298.965657074,-4729.151829405192,-16401996.796557441,-378298.965657074,-4729.151829405192,-16401996.796557441,-378300.3684717327,-4729.391528286792,-16402112.200989075,Kirkwood - Cohansey Aquifer,Phase 2,Rancocas
Phase 1 Greater Hammonton,13335.2687,180864.57100272295,4986.0992699363505,5090291.425972519,0.0,0.0,0.0,0.0,0.0,-46768.46570627705,852.1659729363504,-7228829.799087481,0.09510129950012924,0.021658750999989707,7.294864995987155,0.09510129950012924,0.021658750999989707,7.294864995987155,2.1393655285906377,0.3889434112000103,190.78123910500403,-46768.56080757655,852.1443141853504,-7228837.093952476,-46768.56080757655,852.1443141853504,-7228837.093952476,-46770.60507180564,851.7770295251503,-7229020.580326585,Kirkwood - Cohansey Aquifer,Phase 1,Greater Hammonton
Phase 2 Cohansey River,10229.169,419038.80908888543,26269.663217903602,8473437.324336033,226371.03250263468,19355.89929730205,0.0,0.0,0.0,18055.861756250768,3742.721530601552,-976268.9978639672,278.76450175688774,89.94899177620073,75906.89133175797,278.76450175688774,89.94899177620073,75906.89133175797,280.8337076134815,90.5912227434004,76079.42345696631,17777.097254493878,3652.772538825351,-1052175.889195725,17777.097254493878,3652.772538825351,-1052175.889195725,17775.028048637287,3652.130307858152,-1052348.4213209334,Kirkwood - Cohansey Aquifer,Phase 2,Cohansey River
Phase 2 Lower Salem River,5512.8523000000005,74808.21172032603,6553.681921059642,4811872.632783213,0.0,0.0,0.0,0.0,0.0,-19296.177040673978,4844.697708059642,-280900.3219567867,63.46852503720038,15.25436967180002,13971.93856712099,63.46852503720038,15.25436967180002,13971.93856712099,73.05848946541248,22.90304305900077,14816.48509680066,-19359.64556571118,4829.443338387841,-294872.26052390767,-19359.64556571118,4829.443338387841,-294872.26052390767,-19369.23553013939,4821.794665000641,-295716.80705358734,Kirkwood - Cohansey Aquifer,Phase 2,Lower Salem River
Phase 2 Lower Maiden Cr Trib 3,648.4733,15656.3027879591,2078.98261284486,666682.817108614,0.0,0.0,0.0,0.0,0.0,4586.863556959101,1877.9558898448597,67623.18256861412,807.6976670512013,335.8582268803998,87754.64350070502,807.6976670512013,335.8582268803998,87754.64350070502,835.2773562380007,370.69255168559994,89084.10836168204,3779.1658899079,1542.09766296446,-20131.460932090897,3779.1658899079,1542.09766296446,-20131.460932090897,3751.5862007211003,1507.2633381592598,-21460.92579306792,Middle Schuylkill,Phase 2,Lower Maiden Cr Trib 3
Phase 2 Little Manatawny Trib 4,291.2169,6555.31886918036,1035.67547822253,440214.837217635,0.0,0.0,0.0,0.0,0.0,1584.2463861803594,945.39823922253,171188.664997635,2.1723762677002014,1.0624059798001326,571.3239627460134,2.1723762677002014,1.0624059798001326,571.3239627460134,13.586075373099447,14.919831945800071,1434.445184635988,1582.074009912659,944.3358332427299,170617.341034889,1582.074009912659,944.3358332427299,170617.341034889,1570.66031080726,930.47840727673,169754.219812999,Middle Schuylkill,Phase 2,Little Manatawny Trib 4
Phase 2 Hosensack Cr,3655.6405,47296.87811385086,4767.458643234584,2792443.9592607976,20.1263966372989,1.72325992492585,0.0,0.0,0.0,-15125.031617786446,3632.486828309658,-584636.7346392024,0.0,0.0,0.0,0.0,0.0,0.0,36.24767508229962,41.54674359919703,15348.60929412486,-15125.031617786446,3632.486828309658,-584636.7346392024,-15125.031617786446,3632.486828309658,-584636.7346392024,-15161.279292868745,3590.9400847104607,-599985.3439333271,Middle Schuylkill,Phase 2,Hosensack Cr
Phase 2 Lower Maiden Cr Trib 1,656.8399,19980.791505790483,1193.6751668616998,421278.2553809468,6.61886132942118,0.122041345925279,0.0,0.0,0.0,8761.91555146106,989.9327565157746,-185510.44423905318,0.0,0.0,0.0,0.0,0.0,0.0,8.832383119600763,9.96860855420006,1924.502121457008,8761.91555146106,989.9327565157746,-185510.44423905318,8761.91555146106,989.9327565157746,-185510.44423905318,8753.083168341458,979.9641479615746,-187434.9463605102,Middle Schuylkill,Phase 2,Lower Maiden Cr Trib 1
Phase 2 Lower Maiden Cr Trib 2,488.9183,12726.326284644,1437.25581963979,454968.048797957,0.0,0.0,0.0,0.0,0.0,4380.4909036439985,1285.6911466397898,3305.3232579570563,15.126709758298603,15.769498587599857,4280.533381115005,15.126709758298603,15.769498587599857,4280.533381115005,19.71193648589906,23.174297127000045,5285.933938199014,4365.3641938857,1269.92164805219,-975.2101231579483,4365.3641938857,1269.92164805219,-975.2101231579483,4360.7789671580995,1262.51684951279,-1980.6106802419579,Middle Schuylkill,Phase 2,Lower Maiden Cr Trib 2
Phase 2 Licking Cr,861.7725,15696.092241795439,1083.86779774057,391576.4940324846,0.0,0.0,0.0,0.0,0.0,985.63566679544,816.71832274057,-404528.9414675153,227.91625017100978,69.23039759159997,45400.28775924002,227.91625017100978,69.23039759159997,45400.28775924002,236.47303945400972,77.93092162319994,47221.26996656481,757.7194166244302,747.48792514897,-449929.2292267553,757.7194166244302,747.48792514897,-449929.2292267553,749.1626273414305,738.78740111737,-451750.21143408015,Middle Schuylkill,Phase 2,Licking Cr
Phase 2 Saucony Cr Trib 2,3068.1779,61016.54756799743,6977.133220018795,2538434.642556405,1069.99937020976,1030.41235233273,0.0,0.0,0.0,7572.751444787671,4995.585718686066,-295948.1014635948,182.89032615720043,137.98354833039957,51378.98145260906,182.89032615720043,137.98354833039957,51378.98145260906,275.9919828007014,249.33925692859992,55301.74441335094,7389.861118630471,4857.602170355666,-347327.0829162038,7389.861118630471,4857.602170355666,-347327.0829162038,7296.75946198697,4746.246461757466,-351249.8458769458,Middle Schuylkill,Phase 2,Saucony Cr Trib 2
Phase 2 Manatawny Trib 3,395.2749,9536.34722460867,1585.41547281547,561683.707346531,0.0,0.0,0.0,0.0,0.0,2789.0046816086697,1462.88025381547,196528.75472653095,0.0,0.0,0.0,0.0,0.0,0.0,6.970805411699985,8.968415726999865,835.1963206479559,2789.0046816086697,1462.88025381547,196528.75472653095,2789.0046816086697,1462.88025381547,196528.75472653095,2782.0338761969697,1453.9118380884702,195693.558405883,Middle Schuylkill,Phase 2,Manatawny Trib 3
Phase 2 Tulpehocken Trib 2,990.2396,25555.10773128335,1630.60039446235,622761.031923539,0.0,0.0,0.0,0.0,0.0,8651.71775928335,1323.62611846235,-292022.3105564609,293.0161623456015,129.79749387520013,37512.57491437503,293.0161623456015,129.79749387520013,37512.57491437503,300.4208184097997,135.9994584854,39225.17421348402,8358.701596937748,1193.82862458715,-329534.88547083596,8358.701596937748,1193.82862458715,-329534.88547083596,8351.296940873552,1187.6266599769501,-331247.484769945,Middle Schuylkill,Phase 2,Tulpehocken Trib 2
Phase 2 Mill Cr Trib 2,1285.9594,55538.54755140734,3270.9643871400835,1626436.5258266954,0.0,0.0,0.0,0.0,0.0,33587.22059340734,2872.3169731400835,438467.23210669553,221.033964165998,84.97865932899995,66995.28167447983,221.033964165998,84.97865932899995,66995.28167447983,241.17756007269872,97.72582401760013,71560.96953714988,33366.186629241354,2787.338313811084,371471.95043221576,33366.186629241354,2787.338313811084,371471.95043221576,33346.04303333465,2774.5911491224833,366906.26256954565,Middle Schuylkill,Phase 2,Mill Cr Trib 2
Phase 2 Moselem Cr,3101.973,93432.10772762966,12409.283333088373,4374449.282841807,0.0,0.0,0.0,0.0,0.0,40481.428617629645,11447.671703088372,1508846.6254418073,1274.3766055019978,534.8308430879997,87573.69988281967,1274.3766055019978,534.8308430879997,87573.69988281967,1322.344033108406,604.4918275415996,94166.98667939099,39207.05201212765,10912.840860000373,1421272.9255589878,39207.05201212765,10912.840860000373,1421272.9255589878,39159.08458452124,10843.179875546772,1414679.6387624166,Middle Schuylkill,Phase 2,Moselem Cr
Phase 2 Northkill,4451.1752,81618.51581791663,5215.335191319499,2027630.8264200739,5.57988279253577,9.96888350119942,0.0,0.0,0.0,5631.375271124091,3825.5019958182993,-2084364.823339926,2761.733445726702,802.7497920383998,394847.43888503674,2761.733445726702,802.7497920383998,394847.43888503674,2815.4909239482035,854.7377846793999,400599.55468560493,2869.6418253973898,3022.7522037798994,-2479212.262224963,2869.6418253973898,3022.7522037798994,-2479212.262224963,2815.8843471758896,2970.7642111388996,-2484964.378025531,Middle Schuylkill,Phase 2,Northkill
Phase 2 Tulpehocken Trib 3,307.2604,8813.41616560965,537.83240787981,176578.5393188485,0.0,0.0,0.0,0.0,0.0,3568.4811376096504,442.58168387981,-107268.61820115149,0.0,0.0,0.0,0.0,0.0,0.0,5.387909023799693,5.081112221800055,656.6151304059968,3568.4811376096504,442.58168387981,-107268.61820115149,3568.4811376096504,442.58168387981,-107268.61820115149,3563.0932285858507,437.50057165801,-107925.23333155748,Middle Schuylkill,Phase 2,Tulpehocken Trib 3
Phase 2 Saucony Cr Trib 1,2966.2969,92987.85311843,10817.5900846217,4508293.96270543,982.316947249864,946.212670524246,0.0,0.0,0.0,41370.84808818014,8951.825375097453,1768028.88648543,4563.637678499988,2105.4031602120394,112520.11505833922,4563.637678499988,2105.4031602120394,112520.11505833922,4602.032781850794,2154.5863302240396,118220.6980586499,36807.21040968015,6846.422214885414,1655508.7714270905,36807.21040968015,6846.422214885414,1655508.7714270905,36768.81530632934,6797.239044873413,1649808.18842678,Middle Schuylkill,Phase 2,Saucony Cr Trib 1
Phase 2 Manatawny Trib 2,235.6339,5664.81039716988,866.209656762704,293227.714673371,0.0,0.0,0.0,0.0,0.0,1642.5397241698797,793.1631477627039,75549.11785337102,294.7303751115005,77.34010840559995,650.4495673530037,294.7303751115005,77.34010840559995,650.4495673530037,302.88075070620016,87.35653061639994,1187.1216573899728,1347.8093490583792,715.823039357104,74898.668286018,1347.8093490583792,715.823039357104,74898.668286018,1339.6589734636798,705.806617146304,74361.99619598105,Middle Schuylkill,Phase 2,Manatawny Trib 2
Phase 2 Manor Cr,1761.2097,31047.6719389611,1854.55976020916,674217.430836776,0.0,0.0,0.0,0.0,0.0,983.8223599610952,1308.5847532091598,-952788.090023224,365.29679957970075,130.41236375819994,53280.018182887,365.29679957970075,130.41236375819994,53280.018182887,378.7461405296999,145.61525735279997,56212.38568443002,618.5255603813945,1178.1723894509598,-1006068.1082061109,618.5255603813945,1178.1723894509598,-1006068.1082061109,605.0762194313952,1162.9694958563598,-1009000.4757076539,Middle Schuylkill,Phase 2,Manor Cr
Phase 2 Furnace Cr,948.615,13131.77718175921,773.1791009910993,421621.6103965527,2104.62950757356,38.787225749408,0.0,0.0,0.0,-5165.710375814351,440.32122524169125,-454708.92660344724,249.19669575359876,58.63089169860007,2603.15165134304,249.19669575359876,58.63089169860007,2603.15165134304,253.52096100929884,63.497241072000065,3543.7736622890225,-5414.90707156795,381.6903335430911,-457312.0782547903,-5414.90707156795,381.6903335430911,-457312.0782547903,-5419.23133682365,376.8239841696912,-458252.70026573626,Middle Schuylkill,Phase 2,Furnace Cr
Phase 1 Manatawny Creek,282.40160000000003,6466.921948984564,979.6687645003847,378835.79948035907,0.0,0.0,0.0,0.0,0.0,1646.3266369845637,892.1242685003847,117953.2014003591,0.0,0.0,0.0,0.0,0.0,0.0,2.2062348012000257,3.0819081333999208,661.5324819560046,1646.3266369845637,892.1242685003847,117953.2014003591,1646.3266369845637,892.1242685003847,117953.2014003591,1644.120402183364,889.0423603669848,117291.66891840307,Middle Schuylkill,Phase 1,Manatawny Creek
Phase 1 Tributary to Maiden Creek,493.23159999999996,10914.26395548707,744.173618963754,269930.1830512953,0.0,0.0,0.0,0.0,0.0,2494.8005434870693,591.271822963754,-185717.16902870464,481.9354801513,135.33088245880003,215.74617054100963,481.9354801513,135.33088245880003,215.74617054100963,486.6709162717,140.9551898674,1261.086590875515,2012.8650633357695,455.9409405049539,-185932.91519924565,2012.8650633357695,455.9409405049539,-185932.91519924565,2008.1296272153695,450.31663309635394,-186978.25561958016,Middle Schuylkill,Phase 1,Tributary to Maiden Creek
Phase 1 Spring Creek,1845.0875,48159.971718765555,3188.391931532644,1283198.3656866674,0.0,0.0,0.0,0.0,0.0,16664.328093765555,2616.414806532644,-421293.4668133325,0.0,0.0,0.0,0.0,0.0,0.0,13.892545140699568,11.592016134399127,3206.245189908891,16664.328093765555,2616.414806532644,-421293.4668133325,16664.328093765555,2616.414806532644,-421293.4668133325,16650.435548624857,2604.8227903982447,-424499.7120032414,Middle Schuylkill,Phase 1,Spring Creek
Phase 1 Upper Perkiomen Creek,2038.1456,25425.060095647692,2611.280692453184,1263221.351302588,0.0,0.0,0.0,0.0,0.0,-9366.085296352305,1979.4555564531838,-619617.553977412,0.0,0.0,0.0,0.0,0.0,0.0,64.81087473429943,73.94882168480099,8054.247605879021,-9366.085296352305,1979.4555564531838,-619617.553977412,-9366.085296352305,1979.4555564531838,-619617.553977412,-9430.896171086606,1905.506734768383,-627671.8015832911,Middle Schuylkill,Phase 1,Upper Perkiomen Creek
Phase 2 Upper Musconetcong,9168.7891,40981.02968699723,2655.1577684784565,5268608.633786421,0.0,0.0,11.153484670129906,100.46557660519899,4247.635380378419,-115530.20025000277,-187.16685252154366,-3201518.736793578,0.0,0.0,0.0,0.0,0.0,0.0,2.0364783306995955,0.34105392939982043,180.50518427061564,-115530.20025000277,-187.16685252154366,-3201518.736793578,-115530.20025000277,-187.16685252154366,-3201518.736793578,-115532.23672833346,-187.5079064509434,-3201699.2419778486,New Jersey Highlands,Phase 2,Upper Musconetcong
Phase 2 Lopatcong Creek,3876.8102,89674.41492164439,10948.975665149195,3796236.27062556,23458.5660490991,6741.59211718239,0.0,0.0,0.0,38.698758545293,3005.572385966805,214839.0078655603,748.4173409911982,415.27375024960065,170541.9329296531,1005.9291662505966,565.8816248720004,218583.74845428608,1010.6400283724997,567.4207981632004,219025.17294052296,-709.7185824459052,2590.298635717204,44297.07493590715,-967.2304077053032,2439.690761094804,-3744.7405887257773,-971.9412698272063,2438.151587803605,-4186.165074962657,New Jersey Highlands,Phase 2,Lopatcong Creek
Phase 1 Upper Paulins Kill,5301.7882,27460.374879352523,1879.4884973035937,2614261.604784774,0.0,0.0,0.39689787477004757,3.602841463659999,149.96821365349751,-63041.14969464748,235.93415530359374,-2283530.334375226,0.0,0.0,0.0,0.0,0.0,0.0,3.715765499499831,0.62163312999993,326.2159420193584,-63041.14969464748,235.93415530359374,-2283530.334375226,-63041.14969464748,235.93415530359374,-2283530.334375226,-63044.86546014698,235.3125221735938,-2283856.550317245,New Jersey Highlands,Phase 1,Upper Paulins Kill
Phase 1 Lower Musconetcong,4612.059,56636.591205269,3756.38214141909,2688775.82563764,273.965742788543,15.3552637631755,0.0,0.0,0.0,-22365.221667519552,2311.288587655915,-1571844.2785623597,543.7739994023941,250.8572191968001,141704.74695109017,543.7739994023941,250.8572191968001,141704.74695109017,546.0885456623946,252.69655363920037,142025.46269393014,-22908.99566692195,2060.4313684591148,-1713549.02551345,-22908.99566692195,2060.4313684591148,-1713549.02551345,-22911.310213181947,2058.5920340167145,-1713869.7412562899,New Jersey Highlands,Phase 1,Lower Musconetcong
Phase 2 Lower Middle Musconetcong,11985.5305,254834.20132319385,11667.887693254417,7831234.937507508,90198.77001724148,1431.8527253859534,0.0,0.0,0.0,-39957.57432904761,6520.520512868464,-3240998.1383924913,4827.276635744897,2413.2228206917985,1955688.8354308696,4849.635068360497,2426.3340441021983,1959397.6255816787,4856.897932963307,2431.576351698397,1960149.264961177,-44784.85096479251,4107.297692176665,-5196686.973823361,-44807.20939740811,4094.186468766265,-5200395.76397417,-44814.47226201092,4088.9441611700663,-5201147.403353668,New Jersey Highlands,Phase 2,Lower Middle Musconetcong
Phase 1 Upper Musconetcong,11881.8297,140288.90189677084,5334.356037093353,7641712.691014466,77039.03040939594,1034.7347580752166,16.33357468559916,150.20529044967998,6888.554750540061,-139572.96149162512,616.2540720181369,-3334721.585845533,17.924830635099603,2.4608867115999873,1184.6954477391014,27.436685780099175,3.691125861599976,1805.862898499127,31.087449541011523,4.341885596600055,2126.555629863833,-139590.88632226022,613.7931853065369,-3335906.281293272,-139600.3981774052,612.5629461565369,-3336527.448744032,-139604.04894116614,611.9121864215367,-3336848.1414753967,New Jersey Highlands,Phase 1,Upper Musconetcong
Phase 1 Lopatcong Creek,2906.3133,96708.53453976335,20183.24527622075,2623188.949338001,62312.9412603947,17693.97299405846,0.0,0.0,0.0,-15215.174751631352,1588.3151591622905,-61663.27720199825,92.9597482173991,48.26607574720025,20202.332337064603,92.9597482173991,48.26607574720025,20202.332337064603,104.86663539149794,60.60301755819983,20389.323157697534,-15308.134499848751,1540.0490834150903,-81865.60953906286,-15308.134499848751,1540.0490834150903,-81865.60953906286,-15320.041387022851,1527.7121416040907,-82052.6003596958,New Jersey Highlands,Phase 1,Lopatcong Creek
